CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
290403	R -3 c H	(La0.72 Ba0.23 Na0.028) Mn O3	LaAlO3	Hcini, S.; Zemni, S.; Boudard, M.; Rahmouni, H.; Oumezzine, M.	5.5285(1) 5.5285(1) 13.4714(2) 90. 90. 120.	356.58	293.00	0.101325	2012	10	
290404	R -3 c H	(La0.71 Ba0.15 Na0.076) Mn O2.97	LaAlO3	Hcini, S.; Zemni, S.; Boudard, M.; Rahmouni, H.; Oumezzine, M.	5.5213(1) 5.5213(1) 13.4243(2) 90. 90. 120.	354.41	293.00	0.101325	2012	10	
291068	R -3 c H	La0.7 Pb0.3 (Mn0.9 Fe0.1) O3	LaAlO3	Gutierrez, J.; Pena, A.; Barandiaran, J.M.; Pizarro, J.L.; Hernandez, T.; Lezama, L.; Insausti, M.; Rojo, T.	5.5235(1) 5.5235(1) 13.3978(1) 90. 90. 120.	353.99	270.00	0.101325	2000	10	
291069	R -3 c H	La0.7 Pb0.3 (Mn0.8 Fe0.2) O3	LaAlO3	Gutierrez, J.; Pena, A.; Barandiaran, J.M.; Pizarro, J.L.; Hernandez, T.; Lezama, L.; Insausti, M.; Rojo, T.	5.5272(1) 5.5272(1) 13.4115(2) 90. 90. 120.	354.83	300.00	0.101325	2000	10	
291070	R -3 c H	La0.7 Pb0.3 (Mn0.7 Fe0.3) O3	LaAlO3	Gutierrez, J.; Pena, A.; Barandiaran, J.M.; Pizarro, J.L.; Hernandez, T.; Lezama, L.; Insausti, M.; Rojo, T.	5.5302(1) 5.5302(1) 13.4146(2) 90. 90. 120.	355.30	300.00	0.101325	2000	10	
291155	R 3 m H	Na0.5796 Mn0.65 Co0.18 Ni0.17 O2	CuCrSe2	Kataoka, Riki; Mukai, Takashi; Yoshizawa, Akihiro; Inoue, Kenshi; Kiyobayashi, Tetsu; Sakai, Tetsuo	2.85799(26) 2.85799(26) 16.79230(9) 90. 90. 120.	118.78	293.00	0.101325	2015	10	
291340	R -3 m H	Li Ni0.5 Co0.2 Mn0.3 O2	α−NaFeO2	Gu, Yi-Jie; Zhang, Qing-Gang; Chen, Yun-Bo; Liu, Hong-Quan; Ding, Jian-Xu; Wang, Yan-Min; Wang, Hai-Feng; Chen, Lin; Wang, Meng; Fan, Shun-Wei; Zang, Qing-Feng; Yang, Xiu-Li	2.8745(6) 2.8745(6) 14.2483(40) 90. 90. 120.	101.96	293.00	0.101325	2015	10	
291341	R -3 m H	Li1.019 Ni0.496 Co0.198 Mn0.297 O2	α−NaFeO2	Gu, Yi-Jie; Zhang, Qing-Gang; Chen, Yun-Bo; Liu, Hong-Quan; Ding, Jian-Xu; Wang, Yan-Min; Wang, Hai-Feng; Chen, Lin; Wang, Meng; Fan, Shun-Wei; Zang, Qing-Feng; Yang, Xiu-Li	2.87394(6) 2.87394(6) 14.24676(38) 90. 90. 120.	101.90	293.00	0.101325	2015	10	
291342	R -3 m H	Li1.02 Ni0.49 Co0.196 Mn0.294 O2	α−NaFeO2	Gu, Yi-Jie; Zhang, Qing-Gang; Chen, Yun-Bo; Liu, Hong-Quan; Ding, Jian-Xu; Wang, Yan-Min; Wang, Hai-Feng; Chen, Lin; Wang, Meng; Fan, Shun-Wei; Zang, Qing-Feng; Yang, Xiu-Li	2.87387(5) 2.87387(5) 14.24577(34) 90. 90. 120.	101.90	293.00	0.101325	2015	10	
291343	R -3 m H	Li1.029 Ni0.485 Co0.194 Mn0.291 O2	α−NaFeO2	Gu, Yi-Jie; Zhang, Qing-Gang; Chen, Yun-Bo; Liu, Hong-Quan; Ding, Jian-Xu; Wang, Yan-Min; Wang, Hai-Feng; Chen, Lin; Wang, Meng; Fan, Shun-Wei; Zang, Qing-Feng; Yang, Xiu-Li	2.87175(6) 2.87175(6) 14.23896(35) 90. 90. 120.	101.69	293.00	0.101325	2015	10	
