CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
247883	P m -3 m	(Sr0.75 Y0.25) (Fe0.5 Mn0.5) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8753 3.8753 3.8753 90. 90. 90.	58.20	293.00	0.101325	2013	-1	
252605	P m -3 m	(Bi0.6 La0.4) (Fe0.6 Mn0.4) O3	CaTiO3	Wu, Jiangtao; Li, Nan; Xu, Jun; Zhou, Shuang; Jiang, Yaqi; Xie, Zhaoxiong	3.9172(2) 3.9172(2) 3.9172(2) 90. 90. 90.	60.11	293.00	0.101325	2015	-1	
422574	P m -3 m	Ba (Mn0.01 Ti0.89 Zr0.10) O3	CaTiO3	Chourasia, R.; Shrivastava, O.P.	4.01204 4.01204 4.01204 90.0 90.0 90.0	64.58	293.00	0.101325	2011	-1	
428505	P a -3	Ba Mn9 (V O4)6 (O H)2		Sun, Kewen; Litvinchuk, Alexander P.; Tapp, Joshua; Lorenz, Bernd; Moeller, Angela	12.8417(2) 12.8417(2) 12.8417(2) 90. 90. 90.	2117.72	293.00	0.101325	2015	10	
427745	P a -3	Ba Mn9 (V O4)6 (O H)2		Guo, Wenbin; He, Zhangzhen; Tang, Yingying; Zhang, Suyun; Yang, Ming; Cheng, Wendan	12.8373(2) 12.8373(2) 12.8373(2) 90.00 90.00 90.00	2115.53	293.00	0.101325	2015	-1	
180810	P 43 3 2	Li Mn1.5 Ni0.45 Zn0.075 O4	LiFe5O8	Kitamura, N.; Korechika, Y.; Saruwatari, H.; Takami, N.; Idemoto, Y.	8.1781(4) 8.1781(4) 8.1781(4) 90. 90. 90.	546.96	293.00	0.101325	2011	10	
230819	P 43 3 2	Li Ni0.495 Cu0.012 Mn1.492 O3.62	LiFe5O8	Shiiba, Hiromasa; Zettsu, Nobuyuki; Kida, Satoru; Kim, Dae-wook; Teshima, Katsuya	8.1691(1) 8.1691(1) 8.1691(1) 90. 90. 90.	545.16	293.00	0.101325	2018	10	
95914	P 43 3 2	Li Mg0.041 Ni0.395 Mn1.544 O4		Ooms, F.G.B.; Wagemaker, M.; van Well, A.A.; Mulder, F.M.; Kelder, E.M.; Schoonman, J.	8.1703 8.1703 8.1703 90 90 90	545.40	293.00	0.101325	2002	-1	
95915	P 43 3 2	Li Mg0.096 Ni0.36 Mn1.34 O4		Ooms, F.G.B.; Wagemaker, M.; van Well, A.A.; Mulder, F.M.; Kelder, E.M.; Schoonman, J.	8.1733 8.1733 8.1733 90 90 90	546.00	293.00	0.101325	2002	-1	
170568	P 43 3 2	Li0.246 Mg0.025 Mn0.385 Ni0.09 O		Wagemaker, M.; Ooms, F.G.B.; Kelder, E.M.; Schoonman, J.; Kearley, G.J.; Mulder, F.M.	8.1571 8.1571 8.1571 90.0 90.0 90.0	542.76	293.00	0.101325	2004	-1	
179877	P 43 3 2	Li (Ga4.993 Cr0.006 Mn0.0008) O8	LiFe5O8	Lu, Siyu; Wang, Jian; Zhu, Qi	8.2038450 8.2038450 8.2038450 90. 90. 90.	552.14	293.00	0.101325	2024	-1	
428506	P 21 3	Ba Mn9 (V O4)6 (O H)2		Sun, Kewen; Litvinchuk, Alexander P.; Tapp, Joshua; Lorenz, Bernd; Moeller, Angela	12.8417(2) 12.8417(2) 12.8417(2) 90. 90. 90.	2117.72	293.00	0.101325	2015	10	
258146	P 2 3	(Na7.7 (Mn O2)1.7) (Al Si O4)6	(Na7.7(MnO2)1.7)(AlSiO4)6	Petersen, Hilke; Robben, Lars; Sehovic, Malik; Gesing, Thorsten M.	9.1919(1) 9.1919(1) 9.1919(1) 90. 90. 90.	776.63	900.00	0.101325	2017	10	
