CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
93851	P b n m	(Pr1.333 Na0.667) (Mn0.667 Ti1.333) O6	GdFeO3	Martin, P.; Ruiz, A.I.; Campo, J.; Lopez, M.L.; Veiga, M.L.; Pico, C.	5.441(1) 5.440(4) 7.713(6) 90 90 90	228.30	293.00	0.101325	2001	10	
93853	P b n m	(Nd1.45 Na0.55) (Mn0.55 Ti1.45) O6	GdFeO3	Martin, P.; Ruiz, A.I.; Campo, J.; Lopez, M.L.; Veiga, M.L.; Pico, C.	5.426(1) 5.435(6) 7.694(4) 90 90 90	226.90	293.00	0.101325	2001	10	
95466	P b n m	(La0.6 Ba0.1 Ca0.3) Mn O3	GdFeO3	Liu, R.-S.; Shen, C.H.; Hu, S.F.; Chen, J.-M.	5.4764(3) 5.5076(4) 7.7267(5) 90 90 90	233.05	293.00	0.101325	2002	10	
96082	I b m m	((Nd0.125 Sm0.875)0.5 Sr0.5) Mn O3	BaPbO3(oI20)	Kuriki, A.; Moritomo, Y.; Machida, A.; Nishibori, E.; Takata, M.; Sakata, M.; Ohishi, Y.; Shimomura, O.; Nakamura, A.	5.443(1) 5.416(1) 7.615(2) 90 90 90	224.48	300.00	0.101325	2002	10	
96083	I b m m	((Nd0.125 Sm0.875)0.5 Sr0.5) Mn O3	BaPbO3(oI20)	Kuriki, A.; Moritomo, Y.; Machida, A.; Nishibori, E.; Takata, M.; Sakata, M.; Ohishi, Y.; Shimomura, O.; Nakamura, A.	5.410(1) 5.371(1) 7.548(1) 90 90 90	219.32	300.00	4190.0	2002	10	
96908	P n m a	(La0.425 Pr0.2 Ca0.375) (Mn O3)	GdFeO3	Collado, J.A.; Frontera, C.; Garcia Munoz, J.L.; Ritter, C.; Brunelli, M.; Aranda, M.A.G.	5.44301(5) 7.68546(6) 5.44900(5) 90 90 90	227.94	293.00	0.101325	2003	10	
96909	P n m a	(La0.275 Pr0.35 Ca0.375) (Mn O3)	GdFeO3	Collado, J.A.; Frontera, C.; Garcia Munoz, J.L.; Ritter, C.; Brunelli, M.; Aranda, M.A.G.	5.44105(7) 7.67594(8) 5.43977(6) 90 90 90	227.19	293.00	0.101325	2003	10	
98342	P n m a	(Nd0.7 Ba0.1 Sr0.2) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4678(1) 7.7336(1) 5.4814(1) 90 90 90	231.79	293.00	0.101325	2003	10	
98343	P n m a	(Nd0.7 Ba0.1 Sr0.2) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4580(3) 7.7167(5) 5.4698(4) 90 90 90	230.38	1.50	0.101325	2003	10	
98344	P n m a	(Nd0.7 Ba0.2 Sr0.1) (Mn O3)	GdFeO3	Suard, E.; Fauth, F.; Martin, C.; Maignan, A.; Millange, F.; Keller, L.	5.4792(2) 7.7480(2) 5.4961(2) 90 90 90	233.33	293.00	0.101325	2003	10	
