CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
239820	C 1 2 1	Ca2 Mn2 (Si4 O11 (O H)2) (O H)2 (H2 O)2		Fendrich, Kim V.; Downs, Robert T.; Origlieri, Marcus J.	9.0360(3) 6.1683(2) 11.9601(4) 90 91.433(2) 90	666.40	293.00	0.101325	2016	10	
239870	C 1 2/m 1	Li1.6 Mn0.3 Co0.2 Ni0.3 O2		Mizuno, Yoshifumi; Matsuda, Yasuaki; Suzuki, Kota; Yonemura, Masao; Hirayamara, Masaaki; Kannoa, Ryoji	4.9260(2) 8.5165(3) 5.0080(2) 90 109.202(2) 90	198.41	300.00	0.101325	2015	10	
239871	C 1 2/m 1	(Li2 Mn O3)0.4 (Li Mn0.33 Ni0.67 Co0.33 O2)0.6	Li2MnO3	Idemoto, Yasushi; Sera, Yusuke; Ishida, Naoya; Kitamura, Naoto	4.94108(2) 8.56210(3) 5.02174(1) 90 109.0165(3) 90	200.85	293.00	0.101325	2015	10	
241677	C 1 2/m 1	K2 Mn3 (V O4)2 (O H)2	K2Mn3(VO4)2(OH)2	Sanjeewa, Liurukara.D.; McGuire, Michael A.; McMillen, Colin D.; Willett, Daniel; Chumanov, George; Kolis, Joseph W.	15.184(5) 6.1578(19) 5.3916(19) 90 105.326(9) 90	486.18	298.00	0.101325	2016	10	
242084	P 1 21/c 1	Mn Sb2 O3 (O H) Cl	FeSb2O3(OH)Cl	Geng, Lei; Li, Qiang; Lu, Hongyan; Dai, Kai; Halasyamani, P. Shiv	6.943(6) 8.209(7) 10.524(9) 90 96.542(13) 90	595.91	293.00	0.101325	2016	10	
244407	P 1 n 1	(Ag1.91 Na0.09) Mn Si O4	Li2BeSiO4	Nalbandyan, Vladimir B.; Zvereva, Elena A.; Shukaev, Igor L.; Gordon, Elijah; Politaev, Vladimir V.; Whangbo, Myung-Hwan; Petrenko, Aleksandr A.; Denisov, Roman S.; Markina, Maria M.; Tzschoppe, Michael; Bukhteev, Kirill Yu.; Klingeler, Ruediger; Vasiliev, Alexander N.	6.93888(8) 5.64791(7) 5.50969(7) 90.0 90.3942(13) 90.0	215.92	298.00	0.101325	2017	10	
245143	P 1 21/n 1	(Ca La) Mn Mo O5.92	Ba2LaRuO6(mcl)	Lin, Q.; Greenblatt, M.; Caspi, E.N.; Avdeev, M.	5.56961(9) 5.71514(9) 7.9358(1) 90 90.043(1) 90	252.61	300.00	0.101325	2006	10	
247563	P 1 21/n 1	(La Sr) (Mn Nb) O6	Ba2LaRuO6(mcl)	Yang Tao; Perkisas, T.; Hadermann, J.; Croft, M.; Ignatov, A.; Greenblatt, M.	5.69187(12) 5.74732(10) 8.07018(15) 90 90.0504(29) 90	264.00	293.00	0.101325	2010	10	
247999	P 1 21/n 1	Ca1.921 Ce0.079 Mn Re O6	Ba2LaRuO6(mcl)	Depianti, J.B.; Orlando, M.T.D.; Cavichini, A.S.; Correa, H.P.S.; Rodrigues, V.A.; Passamai, J.L.; Piedade, E.L.O.; Belich, H.; Medeiros, E.F.; de Melo, F.C.L.	5.4578(3) 5.6494(2) 7.7948(2) 90 90.17(1) 90	240.34	293.00	0.101325	2013	10	
251803	P 1 21/m 1	Ba2 Mn (V O4)2 (O H)	MnPb2(VO4)2(OH)	Sanjeewa, Liurukara D.; McGuire, Michael A.; Garlea, Vasile O.; Hu, Longyu; Chumanov, George; McMillen, Colin D.; Kolis, Joseph W.	7.8709(16) 6.1841(12) 9.0589(18) 90.00 112.33(3) 90.00	407.87	293.00	0.101325	2015	10	
